ICAO,First Flight,Nominal OPR,Nominal BPR,F_00 ISA (kN),m_f max T/O (kg/s),m_f SLS FI (kg/s),M_EC,TR_EC,eta_DO,eta_1,C_T DO,TET MCC (K)
B763,1986,30,4.9,504,4.86,0.41,0.683,5.54,0.307,0.353,0.0240,1519
B764,1999,31,5.1,513,4.86,0.40,0.688,5.83,0.315,0.361,0.0278,1629
B77L,2005,41,7.2,1007,9.01,0.75,0.735,5.82,0.349,0.386,0.0239,1667
B772,1994,38,7.0,781,6.89,0.57,0.731,5.72,0.331,0.367,0.0242,1592
B77W,1994,42,7.1,1028,9.38,0.76,0.732,5.59,0.351,0.389,0.0264,1592
B773,1997,36,6.3,745,6.87,0.56,0.716,5.80,0.354,0.394,0.0266,1615
B788,2009,43,9.0,633,4.82,0.45,0.764,6.06,0.376,0.412,0.0238,1688
B789,2013,43,9.0,633,4.82,0.45,0.764,6.13,0.376,0.412,0.0239,1706
B78X,2017,46,8.9,689,5.33,0.47,0.762,6.19,0.365,0.400,0.0243,1723
E75S,2002,23,5.1,120,1.32,0.13,0.688,6.06,0.241,0.284,0.0339,1649
E75L,2002,23,5.1,120,1.32,0.13,0.688,6.06,0.241,0.284,0.0345,1649
E175,1995,17,4.8,66,0.72,0.09,0.680,5.92,0.223,0.273,0.0370,1600
E145,1995,19,4.7,74,0.82,0.10,0.678,5.92,0.242,0.292,0.0382,1600
E170,2002,23,5.1,120,1.32,0.13,0.688,6.06,0.241,0.284,0.0354,1649
E190,2004,27,5.1,167,1.74,0.18,0.687,6.07,0.267,0.310,0.0338,1661
E195,2004,27,5.1,162,1.67,0.17,0.687,6.07,0.268,0.310,0.0349,1661
E290,2016,33,11.6,186,1.30,0.14,0.787,6.27,0.331,0.368,0.0292,1719
E295,2017,36,11.4,201,1.42,0.14,0.786,6.28,0.323,0.360,0.0312,1723
MD82,1981,20,1.7,185,2.62,0.27,0.583,5.44,0.245,0.299,0.0376,1462
MD83,1984,20,1.7,193,2.71,0.27,0.582,5.57,0.238,0.290,0.0379,1497
GLF5,1995,25,4.1,138,1.49,0.17,0.659,5.85,0.318,0.367,0.0293,1600
DHC9,1999,23,5.1,121,1.33,0.13,0.688,5.96,0.218,0.304,0.0343,1629
DC93,1967,16,1.0,130,2.13,0.27,0.556,4.64,0.218,0.257,0.0343,1244
RJ1H,1987,13,5.1,124,1.43,0.18,0.688,5.68,0.218,0.274,0.0427,1529
